merchant,flyer_id,name,price,valid_from,valid_to
Walmart,8006071,Parent's Choice Wipes,2.94,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Spring Valley vitamin B12 100s,10.47,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Tortilla Chips,2.58,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Delicious Kitchen 100% pure coconut water,2.77,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ cut veggies,3.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Milk Chocolatey Almond Ice Cream Bars,9.96,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ Mini Cupcakes 12-pack or Frosted Cookies 10-pack,3.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,"Great Value Eco 10"" Plates",7.44,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ Flattened Whole Jerk Chicken,6.67,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Pepperoni Sticks,9.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Our Finest frozen prime rib mini beef sliders,15.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Spring Valley vitamin D3,7.84,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ BBQ or herb garlic chickens,11.57,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Eco All-Purpose Cleaner,3.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ jerk chicken breast skewers,6.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ pasta,5.27,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value drizzlers,2.47,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Vibrant Life Hedgehog Dog Toy,4.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value fully cooked pork back ribs,8.46,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ jerk chicken breast portions,6.27,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market Atlantic Salmon portion,18.13,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Sauces or drizzlers,2.47,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Your Fresh Market™ cut veggies,3.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value zero sugar or regular lemonade or fruit punch,4.68,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Eco paper towels,7.94,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value milk chocolatey almond ice cream bars,9.96,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value Mexican chicken and cheese mini taquitos,9.98,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Great Value zero sugar fruit punch,4.68,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Equate aloe vera after sun gel,9.48,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Spring Valley magnesium gummies 60s,10.47,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
Walmart,8006071,Our Finest frozen prime rib mini beef sliders,15.97,2026-07-02T00:00:00-04:00,2026-07-29T23:59:59-04:00
